# test name, category, real vulnerability, cwe, Benchmark version: 1.2, 2016-06-1
BenchmarkTest00001,pathtraver,true,22
BenchmarkTest00002,pathtraver,true,22
BenchmarkTest00003,hash,true,328
BenchmarkTest00004,trustbound,true,501
BenchmarkTest00005,crypto,true,327
BenchmarkTest00006,cmdi,true,78
BenchmarkTest00007,cmdi,true,78
BenchmarkTest00008,sqli,true,89
BenchmarkTest00009,hash,false,328
BenchmarkTest00010,weakrand,false,330
BenchmarkTest00011,pathtraver,true,22
BenchmarkTest00012,ldapi,true,90
BenchmarkTest00013,xss,true,79
BenchmarkTest00014,xss,true,79
BenchmarkTest00015,cmdi,true,78
BenchmarkTest00016,securecookie,false,614
BenchmarkTest00017,cmdi,true,78
BenchmarkTest00018,sqli,true,89
BenchmarkTest00019,crypto,true,327
BenchmarkTest00020,crypto,true,327
BenchmarkTest00021,ldapi,true,90
BenchmarkTest00022,hash,false,328
BenchmarkTest00023,weakrand,true,330
BenchmarkTest00024,sqli,true,89
BenchmarkTest00025,sqli,true,89
BenchmarkTest00026,sqli,true,89
BenchmarkTest00027,sqli,true,89
BenchmarkTest00028,pathtraver,true,22
BenchmarkTest00029,hash,true,328
BenchmarkTest00030,xss,true,79
BenchmarkTest00031,trustbound,true,501
BenchmarkTest00032,sqli,true,89
BenchmarkTest00033,sqli,true,89
BenchmarkTest00034,sqli,true,89
BenchmarkTest00035,crypto,true,327
BenchmarkTest00036,xss,true,79
BenchmarkTest00037,sqli,true,89
BenchmarkTest00038,sqli,true,89
BenchmarkTest00039,sqli,true,89
BenchmarkTest00040,pathtraver,true,22
BenchmarkTest00041,xss,true,79
BenchmarkTest00042,weakrand,false,330
BenchmarkTest00043,sqli,true,89
BenchmarkTest00044,ldapi,true,90
BenchmarkTest00045,pathtraver,true,22
BenchmarkTest00046,hash,true,328
BenchmarkTest00047,xss,true,79
BenchmarkTest00048,xss,true,79
BenchmarkTest00049,xss,true,79
BenchmarkTest00050,crypto,true,327
BenchmarkTest00051,cmdi,false,78
BenchmarkTest00052,sqli,false,89
BenchmarkTest00053,crypto,true,327
BenchmarkTest00054,crypto,false,327
BenchmarkTest00055,crypto,true,327
BenchmarkTest00056,crypto,true,327
BenchmarkTest00057,crypto,true,327
BenchmarkTest00058,crypto,false,327
BenchmarkTest00059,crypto,false,327
BenchmarkTest00060,pathtraver,true,22
BenchmarkTest00061,pathtraver,true,22
BenchmarkTest00062,pathtraver,true,22
BenchmarkTest00063,pathtraver,false,22
BenchmarkTest00064,pathtraver,false,22
BenchmarkTest00065,pathtraver,true,22
BenchmarkTest00066,weakrand,true,330
BenchmarkTest00067,weakrand,true,330
BenchmarkTest00068,weakrand,true,330
BenchmarkTest00069,hash,false,328
BenchmarkTest00070,hash,true,328
BenchmarkTest00071,hash,true,328
BenchmarkTest00072,hash,false,328
BenchmarkTest00073,hash,true,328
BenchmarkTest00074,hash,true,328
BenchmarkTest00075,hash,false,328
BenchmarkTest00076,hash,false,328
BenchmarkTest00077,cmdi,true,78
BenchmarkTest00078,weakrand,true,330
BenchmarkTest00079,weakrand,true,330
BenchmarkTest00080,weakrand,true,330
BenchmarkTest00081,weakrand,true,330
BenchmarkTest00082,weakrand,true,330
BenchmarkTest00083,weakrand,true,330
BenchmarkTest00084,weakrand,true,330
BenchmarkTest00085,weakrand,true,330
BenchmarkTest00086,weakrand,true,330
BenchmarkTest00087,securecookie,true,614
BenchmarkTest00088,securecookie,false,614
BenchmarkTest00089,securecookie,false,614
BenchmarkTest00090,cmdi,false,78
BenchmarkTest00091,cmdi,true,78
BenchmarkTest00092,cmdi,true,78
BenchmarkTest00093,cmdi,false,78
BenchmarkTest00094,weakrand,false,330
BenchmarkTest00095,weakrand,false,330
BenchmarkTest00096,weakrand,false,330
BenchmarkTest00097,trustbound,false,501
BenchmarkTest00098,trustbound,true,501
BenchmarkTest00099,trustbound,false,501
BenchmarkTest00100,sqli,true,89
